hpi_0,hpi_0_5,hpi_2,hpi_6,hpi_18,log2_fold_change_6hpi,log10_abundance_6hpi,hsf1_target
HSP90AB1,5718.36573090228,6146.21178909001,11269.6514226643,16426.6996169154,8149.9598777097,1.52236785038189,3.98641112188736,yes
HNRNPM,2436.25365528961,2564.09656836097,3986.38108559914,6329.39418116546,3916.46045882357,1.37740306844177,3.59404232359024,unknown
MED15,203.892558284037,221.118617408724,184.469230146828,564.688867455685,790.744130079915,1.4696470691141,2.53060530051226,unknown
LRP5L,40.4156662973798,26.4112333453602,43.4505666767492,108.864419865383,218.649875267021,1.42954597797758,1.821717852799,unknown
AHSA1,378.851061638898,418.821427604159,564.039195110601,1359.54693588915,1040.38534989705,1.84342326283397,2.85593135700178,yes
EIF5,1501.31918053663,1646.47597206925,1929.49707913979,3261.08328752642,2231.38207722303,1.11912056114032,3.34491746192288,unknown
SLCO4A1,209.360011646636,237.593851909089,230.440061994736,450.165808030884,364.273789346419,1.10447057249749,2.48713311961646,unknown
SCML2,176.008545848692,170.195164421448,182.605547749652,383.266199210181,483.89349816353,1.12270129182383,2.41451713739187,unknown
GABRE,104.384901682964,101.298723000637,160.862586243634,573.760000884745,619.115802748735,2.45853434112946,2.3886839775268,unknown
RBM3,1337.29558838862,1273.53658914335,2437.03988602057,2738.35922179883,1612.47984020026,1.03399332778984,3.28185891540304,unknown
DGKH,16.3587934100226,10.9343858253106,13.0103129968973,54.4376300318357,47.0228160862987,1.73453791772187,1.47482523880022,unknown
NFAT5,239.43100489897,248.078091995025,269.577391178569,662.203551866595,1212.01369429478,1.46766476409762,2.60008594706491,unknown
SLC7A6,105.478392524891,113.280713620464,239.137246296632,232.458607430593,333.068654266788,1.14002635664441,2.19475456718687,unknown
CRISPLD2,16.3587934100226,28.9074881366686,107.437020931416,53.3037388120556,15.8206797071766,1.70417038746936,1.4702544700501,unknown
SOLH,124.067736224298,102.7964718588,122.346481605288,359.454474078684,608.714086445892,1.53468106899446,2.32465137581031,unknown
PIEZO1,868.734859755731,780.278074029117,1307.02719823432,2214.50126442206,2631.84823402878,1.34999398608733,3.14208159070246,unknown
EARS2,74.8606464501076,77.3347395296899,83.2091454712863,163.291216968722,99.0305469261599,1.12516778235947,2.04360819941481,unknown
GDAP1,46.4298718961789,41.8879994177275,55.2538982483304,97.5255043153384,31.4210316057832,1.07072625321102,1.82795784509448,unknown
NDRG1,280.9836496309,316.974526160894,356.549232729535,793.734986775942,1950.53568287344,1.49817121612924,2.67417828649944,unknown
SNX16,31.6677261063669,32.9014935764719,31.6472274656734,79.3832401895462,88.6289209244139,1.32582117138601,1.70017285081498,unknown
EEF1D,841.944339650545,813.727791191973,1147.99297707047,1745.07010786499,1669.68929025486,1.05148823160245,3.08354813044521,unknown
SQLE,133.36240773338,123.265705445729,154.029083962411,273.27870723929,88.6289209244139,1.03502099915496,2.28081961111476,unknown
HNRNPL,844.678066192138,1006.93735135946,1187.75153236727,2039.88194530839,1560.47124934931,1.27201216702085,3.11814812553866,unknown
AMH,31.1209795666002,21.9179707291469,49.0416190935778,107.730528298331,291.461814271024,1.79146775712383,1.76269602400242,unknown
MEGF8,63.3789894805524,49.3767502717746,68.920909312904,138.345601272324,83.4281164553273,1.12620021130662,1.97145533284831,unknown
TNPO2,473.984746208743,460.758386790725,620.570891186302,1027.31667309882,1243.21884814327,1.11596842867034,2.84373435104288,unknown
ZNF14,17.4522921509648,16.4261933464108,37.8595126419989,43.0987189157385,26.2206361717976,1.30422845697313,1.43815841782889,unknown
LFNG,8.70425079324966,12.9314124610724,14.2527810088151,23.8225821905333,1,1.45253776879222,1.15836011486575,unknown
HSPB1,271.142233813003,261.058579674205,291.941579118315,810.743361986896,561.906364087849,1.58019545799578,2.67104028561138,yes
CLDN15,15.812043641239,17.4246997807107,27.9198540899019,45.3665009134507,140.637186666119,1.52060354780435,1.42786164402641,unknown
FSD1L,108.758865023259,72.8414921159733,95.0124697842027,236.994174062863,473.491783273982,1.1237185933424,2.20560116840548,unknown
CA9,46.4298718961789,26.9104844076567,50.9053029637509,100.927178950357,249.85498555215,1.12018952846774,1.83540280986251,unknown
FUBP3,481.092435266228,446.280150891915,616.222299182782,998.969381060712,1227.61627120854,1.05412634477743,2.84089035257585,unknown
MAPK8,104.93164710452,106.790468768455,159.620131287219,210.914665985398,249.85498555215,1.00720956013842,2.17250663476589,unknown
DKK1,48.0701094782032,147.229684910548,282.623167488673,251.734765642368,343.470365548993,2.38869247829667,2.04140915441428,unknown
PBLD,10.3445222155757,8.43808572875656,16.7377114574035,21.5548039006238,62.624987895832,1.05914242464843,1.17412725637247,unknown
RAPGEFL1,4.87687618791312,6.44102103341228,6.17665692105884,34.027592716847,15.8206797071766,2.80267583999059,1.10998647802535,unknown
DDX5,3583.32530868355,4228.0951790231,6000.40039929576,7700.26922570905,7848.31004158802,1.10360986470771,3.72039607334952,unknown
LRP2BP,16.9055429051479,16.9254466668943,14.8740142356305,37.4292646353383,57.4242399629891,1.14667035646895,1.40062020849061,unknown
HSPA8,11102.1667644396,14694.8611154958,28205.5534971042,48965.9892398972,15555.9834450022,2.14093876209362,4.36765113966996,yes
CHORDC1,457.582386836716,471.741876086502,854.773631572855,1970.71455267475,3073.9212659149,2.10661539856491,2.97754651148429,yes
EIF4G2,8156.30305281375,8964.47526210098,12723.3235983859,16986.8421082458,8878.08017190195,1.05843039148176,4.07080300198269,unknown
MMP12,8.15749085231033,19.4217104716732,39.1019692688382,44.2326098972925,10.6218116876805,2.43891299979428,1.27864958032522,unknown
TCIRG1,19.0925385963871,25.4127310440402,21.08632842511,51.0359564335241,31.4210316057832,1.4185050890597,1.49436996762497,unknown
PRR4,11.4380313133784,7.93882226027273,13.0103129968973,30.625921480192,26.2206361717976,1.42091449266849,1.27222022294399,unknown
CDKN1B,233.416806277132,173.1906617073,199.999916702846,628.186801479598,1123.59909222173,1.42828519108173,2.58311046497389,unknown
NT5DC3,74.3139009184789,128.757450840311,117.37666144972,150.818409065876,161.440551506487,1.02110852934766,2.02476220716477,unknown
HCFC2,13.0782895766548,15.4276860103841,15.4952470216286,29.4920312594228,67.8257526020168,1.1731513186438,1.29312781736982,unknown
CAP2,77.5943740611556,93.3107289109776,81.3454626001627,178.031808236228,161.440551506487,1.19811106533522,2.07016391851052,yes
E2F3,231.776570287112,258.063082521655,348.473276055613,466.040291499566,593.111512135867,1.00771995314109,2.51674649866741,unknown
KIAA1244,14.1717923969931,14.4291775984728,10.5253683784863,41.9648279715535,114.633017093885,1.56615843007115,1.38715511442171,unknown
PHACTR2,244.351712853165,216.126122083546,300.017535851625,544.278817244418,296.662668750742,1.1553866713881,2.56191841002524,unknown
PDE10A,299.02624524581,323.464769914101,321.139268798593,665.60522690585,738.735544672216,1.15439464887219,2.64946301567834,unknown
LAMA4,12.5315374248102,17.4246997807107,14.8740142356305,26.0903613420454,15.8206797071766,1.05795350332751,1.25724222470331,unknown
HARS2,155.778967797628,135.746944885123,183.226775215649,312.964915579924,192.645627823245,1.00650047144587,2.3440022381249,unknown
HMGCS1,369.556391273345,400.349195547603,527.3867767353,851.563462498389,827.150140395285,1.20431952570704,2.74894886836313,unknown
HMGCR,266.768271220176,269.046572069685,370.216236317446,583.965025993692,265.457544664996,1.1302948818143,2.59626050605541,unknown
CLK4,83.608574559584,79.3317383139996,142.846989197087,311.831023911076,379.876358140812,1.89904165616225,2.20808506998086,unknown
ARRDC3,83.608574559584,58.8624983905525,237.273563948347,483.048666651238,811.547564497185,2.53044573439486,2.30312085344715,unknown
RARS,383.225024161273,380.878464433822,541.675007631707,809.609470306124,437.085782510555,1.07903439536996,2.74586471995139,unknown
H2AFY,554.356306981072,629.005472366798,880.243956093137,1163.38367490435,613.914944588022,1.06944150756236,2.90475597910762,unknown
PFKFB4,19.6392870380063,10.9343858253106,8.04040443632226,57.8393037990236,145.838025960667,1.55830763027205,1.5276743872038,unknown
COL7A1,20.1860353170197,36.3962466895988,40.3444257883252,61.2409777072178,104.231366775143,1.60113973275321,1.54604657215351,unknown
HES1,56.2712959554448,34.3992450696168,189.439049861072,189.370724660243,218.649875267021,1.75074222299782,2.01379987918221,unknown
ABCC5,230.683079626545,255.067585366664,208.697101114727,607.776751252703,671.124385282943,1.39762930211491,2.57337991200064,unknown
DNAH1,27.2937524466695,31.9029924304616,35.3745990219944,69.1782172588433,36.6215539548407,1.34174708022115,1.63801630706706,unknown
NKTR,634.72786757297,540.638308831819,697.603092340035,1275.63895141602,2158.57004892974,1.00700996552091,2.95415766910354,unknown
DNAJC27,10.8912771887783,12.4321565950035,13.0103129968973,40.8309370678051,57.4242399629891,1.90648953303952,1.32403407914017,unknown
POLE4,83.0618290723312,97.8039756254836,98.7398351975364,172.362350044118,47.0228160862987,1.05318712761335,2.07792194853895,unknown
FN1,19.6392870380063,19.9209627663715,22.3287886911407,44.2326098972925,5.4256168370022,1.17136781273931,1.46943414140675,unknown
PAPOLG,118.600282301009,110.784465617626,206.833418743961,322.036048934254,338.269509852578,1.4411147497477,2.29099510620268,unknown
HSPE1,390.879458571659,434.29816255353,644.798760914047,1327.79796879034,671.124385282943,1.76423997452335,2.85758742400543,yes
